Dates,GOOGL,AMZN,TSLA,GS,DAX,BNDX,FXEURUSD
01/04/2014,28.4,17.15,14.4647,165.92,9603.71,50.51,1.3793
02/04/2014,28.405,17.098,15.3527,167.27,9623.36,50.45,1.3767
03/04/2014,28.575,16.681,15.0267,166.09,9628.82,50.52,1.372
04/04/2014,27.263,16.15,14.1483,163.24,9695.77,50.6,1.3705
07/04/2014,27.032,15.888,13.8347,158.56,9510.85,50.65,1.3742
08/04/2014,27.876,16.354,14.364,156.56,9490.79,50.61,1.3797
09/04/2014,28.352,16.59,14.462,158.16,9506.35,50.6,1.3855
10/04/2014,27.335,15.856,13.6127,155.98,9454.54,50.7,1.3886
11/04/2014,26.888,15.587,13.5853,152.72,9315.29,50.77,1.3885
14/04/2014,27.26,15.796,13.206,154.74,9339.17,50.69,1.3821
15/04/2014,27.435,15.804,12.9273,154.92,9173.71,50.82,1.3815
16/04/2014,28.195,16.184,13.274,157.22,9317.82,50.77,1.3816
17/04/2014,27.167,16.246,13.208,157.44,9409.71,50.69,1.3814
18/04/2014,27.167,16.246,13.208,157.44,9409.71,50.69,1.3813
21/04/2014,26.969,16.544,13.6253,157.8,9409.71,50.73,1.3793
22/04/2014,27.275,16.466,14.576,160.46,9600.09,50.73,1.3805
23/04/2014,26.876,16.229,13.866,160.45,9544.19,50.74,1.3817
24/04/2014,26.722,16.857,13.8573,160.85,9548.68,50.74,1.3831
25/04/2014,26.155,15.192,13.3233,158.24,9401.55,50.8,1.3834
28/04/2014,26.149,14.829,13.234,156.54,9446.36,50.75,1.3851
29/04/2014,26.817,15.019,13.7947,158.24,9584.12,50.77,1.3812
30/04/2014,26.744,15.207,13.8593,159.82,9603.23,50.85,1.3867
01/05/2014,26.926,15.394,13.8487,160.37,9603.23,50.82,1.387
02/05/2014,26.694,15.401,14.0607,158.88,9556.02,50.83,1.3869
05/05/2014,26.767,15.503,14.4407,156.35,9529.5,50.81,1.3875
06/05/2014,26.129,14.869,13.8187,154.54,9467.53,50.835,1.3928
07/05/2014,25.9,14.635,13.4233,155.52,9521.3,50.84,1.391
08/05/2014,26.008,14.416,11.906,157.4,9607.4,50.91,1.384
09/05/2014,26.331,14.612,12.1507,157.2,9581.45,50.88,1.3758
12/05/2014,26.922,15.143,12.3113,159.55,9702.46,50.86,1.3757
13/05/2014,27.077,15.232,12.6773,160.28,9754.43,51,1.3704
14/05/2014,26.72,14.881,12.708,159.45,9754.39,51.04,1.3715
15/05/2014,26.456,14.76,12.5727,156.64,9656.05,51.13,1.371
16/05/2014,26.415,14.885,12.7707,156.43,9629.1,51.04,1.3694
19/05/2014,26.942,14.838,13.0727,157.67,9659.39,51.05,1.3709
20/05/2014,27.02,15.06,13.02,156.35,9639.08,51,1.3702
21/05/2014,27.485,15.25,13.2967,159.35,9697.87,50.98,1.3687
